CMDLINE /usr/bin/python3 main.py
MEM 81.855469 1750778320.3395
MEM 81.855469 1750778320.4401
MEM 81.855469 1750778320.5407
MEM 81.855469 1750778320.6414
MEM 81.855469 1750778320.7421
MEM 81.855469 1750778320.8428
MEM 81.855469 1750778320.9435
MEM 81.855469 1750778321.0441
MEM 81.855469 1750778321.1448
MEM 81.855469 1750778321.2456
MEM 81.855469 1750778321.3461
MEM 81.855469 1750778321.4468
MEM 81.855469 1750778321.5476
MEM 81.855469 1750778321.6483
MEM 81.855469 1750778321.7490
MEM 81.855469 1750778321.8497
MEM 81.855469 1750778321.9503
MEM 81.855469 1750778322.0511
MEM 81.855469 1750778322.1518
MEM 81.855469 1750778322.2524
MEM 81.855469 1750778322.3531
MEM 81.855469 1750778322.4538
MEM 81.855469 1750778322.5546
MEM 81.855469 1750778322.6553
MEM 81.855469 1750778322.7560
MEM 81.855469 1750778322.8566
MEM 81.855469 1750778322.9573
MEM 81.855469 1750778323.0580
MEM 81.855469 1750778323.1586
MEM 81.855469 1750778323.2593
MEM 81.855469 1750778323.3599
MEM 81.855469 1750778323.4606
MEM 81.855469 1750778323.5613
MEM 81.855469 1750778323.6619
MEM 81.855469 1750778323.7626
MEM 81.855469 1750778323.8633
MEM 81.855469 1750778323.9641
MEM 81.855469 1750778324.0647
MEM 81.855469 1750778324.1654
MEM 81.855469 1750778324.2661
MEM 81.855469 1750778324.3668
MEM 81.855469 1750778324.4674
MEM 81.855469 1750778324.5681
MEM 81.855469 1750778324.6687
MEM 81.855469 1750778324.7694
MEM 81.855469 1750778324.8700
MEM 81.855469 1750778324.9707
MEM 81.855469 1750778325.0713
MEM 81.855469 1750778325.1720
MEM 81.855469 1750778325.2727
MEM 81.855469 1750778325.3734
MEM 81.855469 1750778325.4740
MEM 81.855469 1750778325.5747
MEM 81.855469 1750778325.6754
MEM 81.855469 1750778325.7761
MEM 81.855469 1750778325.8768
MEM 81.855469 1750778325.9775
MEM 81.855469 1750778326.0781
MEM 81.855469 1750778326.1788
MEM 81.855469 1750778326.2796
MEM 81.855469 1750778326.3802
MEM 81.855469 1750778326.4808
MEM 81.855469 1750778326.5811
MEM 81.855469 1750778326.6818
MEM 81.855469 1750778326.7824
MEM 81.855469 1750778326.8831
MEM 81.855469 1750778326.9838
MEM 81.855469 1750778327.0845
MEM 81.855469 1750778327.1849
MEM 81.855469 1750778327.2853
MEM 81.855469 1750778327.3860
MEM 81.855469 1750778327.4867
MEM 81.855469 1750778327.5874
MEM 81.855469 1750778327.6880
MEM 81.855469 1750778327.7884
MEM 81.855469 1750778327.8887
MEM 81.855469 1750778327.9890
MEM 81.855469 1750778328.0895
MEM 81.855469 1750778328.1901
MEM 81.855469 1750778328.2908
MEM 81.855469 1750778328.3914
MEM 81.855469 1750778328.4920
MEM 81.855469 1750778328.5928
MEM 81.855469 1750778328.6934
MEM 81.855469 1750778328.7947
MEM 81.855469 1750778328.8954
MEM 81.855469 1750778328.9961
MEM 81.855469 1750778329.0968
